date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:27:56	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:06:51%20GMT	https://google.com/chrome	C:/Users/win11/Documents/google%20clone/google.com/chrome.0.delayed	(from )
04:27:56	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:06:52%20GMT	https://www.google.com/chrome	C:/Users/win11/Documents/google%20clone/www.google.com/chrome.1.delayed	(from )
04:27:56	420843/420843	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/index.html	(from )
04:27:56	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:27:58%20GMT	https://google.com/chrome/safety	C:/Users/win11/Documents/google%20clone/google.com/chrome/safety.2.delayed	(from )
04:27:57	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:27:58%20GMT	https://www.google.com/chrome/safety	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/safety.3.delayed	(from )
04:27:57	379819/379819	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/safety/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/safety/index.html	(from )
04:27:57	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:27:59%20GMT	https://google.com/chrome/browser-tools	C:/Users/win11/Documents/google%20clone/google.com/chrome/browser-tools.4.delayed	(from )
04:27:58	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:27:59%20GMT	https://www.google.com/chrome/browser-tools	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/browser-tools.5.delayed	(from )
04:27:58	362983/362983	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/browser-tools/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/browser-tools/index.html	(from )
04:27:58	1858/1858	------	200	untouched ('OK')	text/plain	date:Fri,%2005%20Sep%202025%2009:30:00%20GMT	https://www.google.com/robots.txt		(from )
04:27:58	218158/218158	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/fallback/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/fallback/index.html	(from https://www.google.com/chrome/)
04:27:58	695/695	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/favicon-16x16.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/favicon-16x16.png	(from https://www.google.com/chrome/)
04:27:58	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Nov%202025%2003:06:54%20GMT	https://www.google.com/chrome/string,%20document.baseURI	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/string,%20document.16.delayed	(from https://www.google.com/chrome/)
04:27:58	1659/1659	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/favicon-32x32.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/favicon-32x32.png	(from https://www.google.com/chrome/)
04:27:58	4048/4048	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/favicon-96x96.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/favicon-96x96.png	(from https://www.google.com/chrome/)
04:27:58	10569/10569	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/android-icon-192x192.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/android-icon-192x192.png	(from https://www.google.com/chrome/)
04:27:58	2399/2399	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-57x57.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-57x57.png	(from https://www.google.com/chrome/)
04:27:58	156/156	------	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Nov%202025%2019:29:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/win11/Documents/google%20clone/www.googletagmanager.com/gtm.175445.delayed	(from https://www.google.com/chrome/)
04:27:58	2555/2555	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-60x60.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-60x60.png	(from https://www.google.com/chrome/)
04:27:58	3067/3067	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-72x72.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-72x72.png	(from https://www.google.com/chrome/)
04:27:58	3219/3219	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-76x76.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-76x76.png	(from https://www.google.com/chrome/)
04:27:58	4928/4928	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-114x114.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-114x114.png	(from https://www.google.com/chrome/)
04:27:58	5322/5322	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-120x120.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-120x120.png	(from https://www.google.com/chrome/)
04:27:58	7001/7001	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-144x144.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-144x144.png	(from https://www.google.com/chrome/)
04:27:58	7281/7281	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-152x152.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-152x152.png	(from https://www.google.com/chrome/)
04:27:58	9519/9519	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/apple-icon-180x180.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/apple-icon-180x180.png	(from https://www.google.com/chrome/)
04:27:58	708/708	------	200	untouched ('')	application/json	date:Mon,%2025%20May%202020%2008:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/manifest.json	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/manifest.json	(from https://www.google.com/chrome/)
04:27:58	123660/123660	------	200	untouched ('')	image/webp	date:Thu,%2004%20Jan%202024%2014:30:00%20GMT	https://www.google.com/chrome/static/images/dev-components/home-poster-2x.webp	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/dev-components/home-poster-2x.webp	(from https://www.google.com/chrome/)
04:27:59	96780/96780	------	200	untouched ('')	text/javascript	date:Thu,%2030%20Oct%202025%2015:00:00%20GMT	https://www.google.com/chrome/static/installer/js/main.min.js	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/installer/js/main.min.js	(from https://www.google.com/chrome/)
04:27:59	34395/34395	------	200	untouched ('OK')	text/css	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/static/css/fallback.min.css	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/css/fallback.min.css	(from https://www.google.com/chrome/)
04:27:59	9027/9027	------	200	untouched ('OK')	text/css	date:Mon,%2010%20Nov%202025%2017:09:41%20GMT	https://www.gstatic.com/glue/cookienotificationbar/cookienotificationbar.min.css	C:/Users/win11/Documents/google%20clone/www.gstatic.com/glue/cookienotificationbar/cookienotificationbar.min.css	(from https://www.google.com/chrome/)
04:27:59	75954/75954	------	200	untouched ('')	text/javascript	date:Mon,%2010%20Nov%202025%2017:09:41%20GMT	https://www.gstatic.com/glue/cookienotificationbar/cookienotificationbar.min.js	C:/Users/win11/Documents/google%20clone/www.gstatic.com/glue/cookienotificationbar/cookienotificationbar.min.js	(from https://www.google.com/chrome/)
04:27:59	398776/398776	------	200	untouched ('OK')	image/svg+xml	date:Thu,%2016%20Oct%202025%2012:30:00%20GMT	https://www.google.com/chrome/static/images/site-icons.svg	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/site-icons.svg	(from https://www.google.com/chrome/)
04:27:59	8086/8086	------	200	untouched ('')	image/png	date:Thu,%2030%20Nov%202023%2013:30:00%20GMT	https://www.google.com/chrome/static/images/fallback/chrome-logo-2023.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/fallback/chrome-logo-2023.png	(from https://www.google.com/chrome/)
04:27:59	462508/462508	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/ai-innovations/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/ai-innovations/index.html	(from https://www.google.com/chrome/)
04:28:00	2303/2303	------	200	untouched ('OK')	image/svg+xml	date:Wed,%2002%20Mar%202022%2019:00:00%20GMT	https://www.google.com/chrome/static/images/chrome-logo-m100.svg	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/chrome-logo-m100.svg	(from https://www.google.com/chrome/)
